valid_time,latitude,longitude,max_temperature,mean_temperature,
01-01-2012,18.8,72.8,298.4165,297.08255,23.93255
01-01-2012,19.05,72.8,298.7636,296.96805,23.81805
02-01-2012,18.8,72.8,298.37823,296.42886,23.27886
02-01-2012,19.05,72.8,299.0282,296.2494,23.0994
03-01-2012,18.8,72.8,298.8562,296.9651,23.8151
03-01-2012,19.05,72.8,299.4902,296.69504,23.54504
04-01-2012,18.8,72.8,298.2823,296.4855,23.3355
04-01-2012,19.05,72.8,298.96832,296.2083,23.0583
05-01-2012,18.8,72.8,299.34198,296.9696,23.8196
05-01-2012,19.05,72.8,300.2144,296.83798,23.68798
06-01-2012,18.8,72.8,298.935,297.12463,23.97463
06-01-2012,19.05,72.8,299.6479,296.91772,23.76772
07-01-2012,18.8,72.8,298.29865,296.38754,23.23754
07-01-2012,19.05,72.8,298.95746,296.2338,23.0838
08-01-2012,18.8,72.8,298.39557,296.3217,23.1717
08-01-2012,19.05,72.8,298.81244,296.09756,22.94756
09-01-2012,18.8,72.8,297.68076,295.44614,22.29614
09-01-2012,19.05,72.8,298.07617,295.19662,22.04662
10-01-2012,18.8,72.8,298.46802,295.806,22.656
10-01-2012,19.05,72.8,298.75137,295.53558,22.38558
11-01-2012,18.8,72.8,299.31247,296.38028,23.23028
11-01-2012,19.05,72.8,299.43103,296.03287,22.88287
12-01-2012,18.8,72.8,299.75412,296.61118,23.46118
12-01-2012,19.05,72.8,299.74136,296.1886,23.0386
13-01-2012,18.8,72.8,299.63177,296.75735,23.60735
13-01-2012,19.05,72.8,299.8101,296.43207,23.28207
14-01-2012,18.8,72.8,300.01318,296.8677,23.7177
14-01-2012,19.05,72.8,300.4521,296.58844,23.43844
15-01-2012,18.8,72.8,298.83954,296.52048,23.37048
15-01-2012,19.05,72.8,299.71954,296.33914,23.18914
16-01-2012,18.8,72.8,297.94525,296.13898,22.98898
16-01-2012,19.05,72.8,298.53308,295.94366,22.79366
17-01-2012,18.8,72.8,297.48846,295.59232,22.44232
17-01-2012,19.05,72.8,298.05707,295.4179,22.2679
18-01-2012,18.8,72.8,296.14993,295.18637,22.03637
18-01-2012,19.05,72.8,296.35406,295.071,21.921
19-01-2012,18.8,72.8,295.87115,294.69266,21.54266
19-01-2012,19.05,72.8,296.1271,294.4996,21.3496
20-01-2012,18.8,72.8,297.01767,294.9388,21.7888
20-01-2012,19.05,72.8,297.45828,294.7888,21.6388
21-01-2012,18.8,72.8,298.5216,295.75107,22.60107
21-01-2012,19.05,72.8,299.0712,295.5007,22.3507
22-01-2012,18.8,72.8,297.0414,295.96136,22.81136
22-01-2012,19.05,72.8,297.2782,295.69363,22.54363
23-01-2012,18.8,72.8,297.50806,295.71414,22.56414
23-01-2012,19.05,72.8,298.2025,295.64215,22.49215
24-01-2012,18.8,72.8,299.2448,296.62552,23.47552
24-01-2012,19.05,72.8,299.93817,296.53513,23.38513
25-01-2012,18.8,72.8,297.99628,296.40784,23.25784
25-01-2012,19.05,72.8,298.68484,296.3204,23.1704
26-01-2012,18.8,72.8,297.88354,296.11838,22.96838
26-01-2012,19.05,72.8,298.4583,296.07132,22.92132
27-01-2012,18.8,72.8,297.9684,296.09195,22.94195
27-01-2012,19.05,72.8,298.55157,296.0422,22.8922
28-01-2012,18.8,72.8,297.88138,295.86935,22.71935
28-01-2012,19.05,72.8,298.31235,295.7184,22.5684
29-01-2012,18.8,72.8,297.19012,295.02347,21.87347
29-01-2012,19.05,72.8,297.63367,294.83975,21.68975
30-01-2012,18.8,72.8,297.75732,295.32446,22.17446
30-01-2012,19.05,72.8,298.75983,295.32297,22.17297
31-01-2012,18.8,72.8,298.65247,296.63907,23.48907
31-01-2012,19.05,72.8,299.24908,296.6924,23.5424
01-02-2012,18.8,72.8,299.75085,297.43063,24.28063
01-02-2012,19.05,72.8,300.27417,297.56778,24.41778
02-02-2012,18.8,72.8,301.168,297.8414,24.6914
02-02-2012,19.05,72.8,301.38565,297.90985,24.75985
03-02-2012,18.8,72.8,299.9428,297.8645,24.7145
03-02-2012,19.05,72.8,300.61133,297.9169,24.7669
04-02-2012,18.8,72.8,298.76376,297.48605,24.33605
04-02-2012,19.05,72.8,299.48193,297.564,24.414
05-02-2012,18.8,72.8,299.11664,297.2025,24.0525
05-02-2012,19.05,72.8,299.76987,297.18118,24.03118
06-02-2012,18.8,72.8,298.30713,296.88608,23.73608
06-02-2012,19.05,72.8,299.0802,296.86722,23.71722
07-02-2012,18.8,72.8,297.38528,296.39145,23.24145
07-02-2012,19.05,72.8,297.82614,296.26437,23.11437
08-02-2012,18.8,72.8,296.63483,294.76672,21.61672
08-02-2012,19.05,72.8,296.8352,294.47018,21.32018
09-02-2012,18.8,72.8,297.69354,294.3659,21.2159
09-02-2012,19.05,72.8,298.2399,294.2151,21.0651
10-02-2012,18.8,72.8,298.011,295.35342,22.20342
10-02-2012,19.05,72.8,298.52255,295.27698,22.12698
11-02-2012,18.8,72.8,298.24634,296.06503,22.91503
11-02-2012,19.05,72.8,299.10577,295.99667,22.84667
12-02-2012,18.8,72.8,296.72357,295.42075,22.27075
12-02-2012,19.05,72.8,297.3142,295.5099,22.3599
13-02-2012,18.8,72.8,297.34314,295.45865,22.30865
13-02-2012,19.05,72.8,297.9112,295.4476,22.2976
14-02-2012,18.8,72.8,297.42776,295.8486,22.6986
14-02-2012,19.05,72.8,298.26703,296.0187,22.8687
15-02-2012,18.8,72.8,297.94995,296.25253,23.10253
15-02-2012,19.05,72.8,298.77225,296.31778,23.16778
16-02-2012,18.8,72.8,297.7533,295.759,22.609
16-02-2012,19.05,72.8,298.43323,295.72516,22.57516
17-02-2012,18.8,72.8,298.71387,295.95407,22.80407
17-02-2012,19.05,72.8,299.82123,295.94205,22.79205
18-02-2012,18.8,72.8,299.6566,297.1055,23.9555
18-02-2012,19.05,72.8,300.94257,297.23965,24.08965
19-02-2012,18.8,72.8,300.1887,297.97244,24.82244
19-02-2012,19.05,72.8,301.63254,298.2245,25.0745
20-02-2012,18.8,72.8,300.1889,298.2848,25.1348
20-02-2012,19.05,72.8,301.14902,298.59344,25.44344
21-02-2012,18.8,72.8,300.46808,298.40222,25.25222
21-02-2012,19.05,72.8,301.79376,298.72018,25.57018
22-02-2012,18.8,72.8,300.50592,298.45218,25.30218
22-02-2012,19.05,72.8,301.5605,298.75272,25.60272
23-02-2012,18.8,72.8,300.1834,298.1949,25.0449
23-02-2012,19.05,72.8,301.30392,298.46085,25.31085
24-02-2012,18.8,72.8,299.46494,297.85104,24.70104
24-02-2012,19.05,72.8,300.5279,298.04666,24.89666
25-02-2012,18.8,72.8,300.1354,298.15402,25.00402
25-02-2012,19.05,72.8,301.20392,298.3096,25.1596
26-02-2012,18.8,72.8,300.57596,298.3265,25.1765
26-02-2012,19.05,72.8,301.34863,298.50653,25.35653
27-02-2012,18.8,72.8,300.65314,298.49112,25.34112
27-02-2012,19.05,72.8,301.64886,298.71112,25.56112
28-02-2012,18.8,72.8,298.46466,297.26376,24.11376
28-02-2012,19.05,72.8,299.56473,297.2961,24.1461
29-02-2012,18.8,72.8,297.72174,296.48038,23.33038
29-02-2012,19.05,72.8,298.14908,296.46548,23.31548
01-03-2012,18.8,72.8,297.64474,295.8087,22.6587
01-03-2012,19.05,72.8,298.26276,295.75253,22.60253
02-03-2012,18.8,72.8,297.14798,295.53812,22.38812
02-03-2012,19.05,72.8,297.83624,295.67728,22.52728
03-03-2012,18.8,72.8,297.56003,296.12155,22.97155
03-03-2012,19.05,72.8,298.53555,296.40103,23.25103
04-03-2012,18.8,72.8,298.91165,297.02893,23.87893
04-03-2012,19.05,72.8,299.9706,297.35974,24.20974
05-03-2012,18.8,72.8,300.83582,298.3465,25.1965
05-03-2012,19.05,72.8,301.89395,298.7034,25.5534
06-03-2012,18.8,72.8,298.82617,297.3433,24.1933
06-03-2012,19.05,72.8,299.61548,297.40897,24.25897
07-03-2012,18.8,72.8,297.23022,296.1123,22.9623
07-03-2012,19.05,72.8,297.9814,296.24472,23.09472
08-03-2012,18.8,72.8,297.05173,295.8,22.65
08-03-2012,19.05,72.8,297.47217,296.03055,22.88055
09-03-2012,18.8,72.8,297.48218,296.25162,23.10162
09-03-2012,19.05,72.8,298.29498,296.45407,23.30407
10-03-2012,18.8,72.8,299.5607,297.37387,24.22387
10-03-2012,19.05,72.8,300.16556,297.50446,24.35446
11-03-2012,18.8,72.8,298.27295,297.2742,24.1242
11-03-2012,19.05,72.8,299.06683,297.3041,24.1541
12-03-2012,18.8,72.8,298.6267,297.25867,24.10867
12-03-2012,19.05,72.8,299.4687,297.27728,24.12728
13-03-2012,18.8,72.8,300.83002,297.965,24.815
