valid_time,latitude,longitude,max_temperature,mean_temperature,#VALUE!,
01-01-20,18.8,72.8,297.62848,296.2935,23.1435,24.47848
01-01-20,19.05,72.8,297.8888,295.97708,22.82708,24.7388
02-01-20,18.8,72.8,298.0075,296.7277,23.5777,24.8575
02-01-20,19.05,72.8,298.3086,296.4684,23.3184,25.1586
03-01-20,18.8,72.8,297.79413,296.30576,23.15576,24.64413
03-01-20,19.05,72.8,298.2498,296.25482,23.10482,25.0998
04-01-20,18.8,72.8,298.2703,296.1717,23.0217,25.1203
04-01-20,19.05,72.8,298.59045,296.0474,22.8974,25.44045
05-01-20,18.8,72.8,300.09167,297.3109,24.1609,26.94167
05-01-20,19.05,72.8,300.2049,297.162,24.012,27.0549
06-01-20,18.8,72.8,300.25485,298.3906,25.2406,27.10485
06-01-20,19.05,72.8,300.53815,298.17838,25.02838,27.38815
07-01-20,18.8,72.8,299.58658,298.29022,25.14022,26.43658
07-01-20,19.05,72.8,299.7439,298.1397,24.9897,26.5939
08-01-20,18.8,72.8,298.67712,297.56412,24.41412,25.52712
08-01-20,19.05,72.8,298.88174,297.4734,24.3234,25.73174
09-01-20,18.8,72.8,298.68347,296.59152,23.44152,25.53347
09-01-20,19.05,72.8,299.0487,296.5358,23.3858,25.8987
10-01-20,18.8,72.8,300.12128,297.60562,24.45562,26.97128
10-01-20,19.05,72.8,300.66388,297.44223,24.29223,27.51388
11-01-20,18.8,72.8,300.88547,298.57452,25.42452,27.73547
11-01-20,19.05,72.8,300.9554,298.42422,25.27422,27.8054
12-01-20,18.8,72.8,300.16058,298.41464,25.26464,27.01058
12-01-20,19.05,72.8,300.6225,298.3857,25.2357,27.4725
13-01-20,18.8,72.8,298.50534,297.6107,24.4607,25.35534
13-01-20,19.05,72.8,298.72433,297.49783,24.34783,25.57433
14-01-20,18.8,72.8,297.92468,296.77512,23.62512,24.77468
14-01-20,19.05,72.8,298.3068,296.7197,23.5697,25.1568
15-01-20,18.8,72.8,296.79724,295.84735,22.69735,23.64724
15-01-20,19.05,72.8,297.00128,295.6954,22.5454,23.85128
16-01-20,18.8,72.8,295.62106,294.86563,21.71563,22.47106
16-01-20,19.05,72.8,295.7207,294.66626,21.51626,22.5707
17-01-20,18.8,72.8,296.30807,294.12912,20.97912,23.15807
17-01-20,19.05,72.8,296.6107,293.90506,20.75506,23.4607
18-01-20,18.8,72.8,298.4314,295.45007,22.30007,25.2814
18-01-20,19.05,72.8,299.04144,295.29733,22.14733,25.89144
19-01-20,18.8,72.8,299.04483,296.79944,23.64944,25.89483
19-01-20,19.05,72.8,299.59875,296.6623,23.5123,26.44875
20-01-20,18.8,72.8,299.92844,297.6113,24.4613,26.77844
20-01-20,19.05,72.8,300.8131,297.5325,24.3825,27.6631
