valid_time,latitude,longitude,t2m,t2m_C,number
01/01/2022,19.05,72.8,298.33347,25.18347,0
01/01/2022,18.8,72.8,298.56198,25.41198,0
02/01/2022,19.05,72.8,298.47852,25.32852,0
02/01/2022,18.8,72.8,298.62933,25.47933,0
03/01/2022,19.05,72.8,298.68832,25.53832,0
03/01/2022,18.8,72.8,298.79434,25.64434,0
04/01/2022,19.05,72.8,298.64935,25.49935,0
04/01/2022,18.8,72.8,298.67316,25.52316,0
05/01/2022,19.05,72.8,298.20996,25.05996,0
05/01/2022,18.8,72.8,298.1831,25.0331,0
06/01/2022,19.05,72.8,297.2951,24.1451,0
06/01/2022,18.8,72.8,297.31033,24.16033,0
07/01/2022,19.05,72.8,297.28226,24.13226,0
07/01/2022,18.8,72.8,297.2963,24.1463,0
08/01/2022,19.05,72.8,296.00455,22.85455,0
08/01/2022,18.8,72.8,295.9336,22.7836,0
09/01/2022,19.05,72.8,295.62106,22.47106,0
09/01/2022,18.8,72.8,295.759,22.609,0
10/01/2022,19.05,72.8,294.15973,21.00973,0
10/01/2022,18.8,72.8,294.3735,21.2235,0
11/01/2022,19.05,72.8,294.71158,21.56158,0
11/01/2022,18.8,72.8,294.8732,21.7232,0
12/01/2022,19.05,72.8,294.79123,21.64123,0
12/01/2022,18.8,72.8,294.9714,21.8214,0
13/01/2022,19.05,72.8,295.05807,21.90807,0
13/01/2022,18.8,72.8,295.19144,22.04144,0
14/01/2022,19.05,72.8,295.62033,22.47033,0
14/01/2022,18.8,72.8,295.68063,22.53063,0
15/01/2022,19.05,72.8,296.54523,23.39523,0
15/01/2022,18.8,72.8,296.7254,23.5754,0
16/01/2022,19.05,72.8,297.11005,23.96005,0
16/01/2022,18.8,72.8,297.3217,24.1717,0
17/01/2022,19.05,72.8,297.76434,24.61434,0
17/01/2022,18.8,72.8,298.03003,24.88003,0
18/01/2022,19.05,72.8,297.44254,24.29254,0
18/01/2022,18.8,72.8,297.67786,24.52786,0
19/01/2022,19.05,72.8,297.08295,23.93295,0
19/01/2022,18.8,72.8,297.2594,24.1094,0
20/01/2022,19.05,72.8,296.88968,23.73968,0
20/01/2022,18.8,72.8,297.06088,23.91088,0
21/01/2022,19.05,72.8,296.5928,23.4428,0
21/01/2022,18.8,72.8,296.73715,23.58715,0
22/01/2022,19.05,72.8,296.87424,23.72424,0
22/01/2022,18.8,72.8,296.878,23.728,0
23/01/2022,19.05,72.8,295.17456,22.02456,0
23/01/2022,18.8,72.8,295.31247,22.16247,0
24/01/2022,19.05,72.8,293.57706,20.42706,0
24/01/2022,18.8,72.8,293.6606,20.5106,0
25/01/2022,19.05,72.8,294.29245,21.14245,0
25/01/2022,18.8,72.8,294.493,21.343,0
26/01/2022,19.05,72.8,295.1038,21.9538,0
26/01/2022,18.8,72.8,295.29886,22.14886,0
27/01/2022,19.05,72.8,296.1165,22.9665,0
27/01/2022,18.8,72.8,296.36972,23.21972,0
28/01/2022,19.05,72.8,296.6603,23.5103,0
28/01/2022,18.8,72.8,296.91464,23.76464,0
29/01/2022,19.05,72.8,296.57553,23.42553,0
29/01/2022,18.8,72.8,296.81155,23.66155,0
30/01/2022,19.05,72.8,296.50455,23.35455,0
30/01/2022,18.8,72.8,296.6128,23.4628,0
31/01/2022,19.05,72.8,296.31778,23.16778,0
31/01/2022,18.8,72.8,296.41034,23.26034,0
01/02/2022,19.05,72.8,296.22748,23.07748,0
01/02/2022,18.8,72.8,296.33847,23.18847,0
02/02/2022,19.05,72.8,296.25653,23.10653,0
02/02/2022,18.8,72.8,296.34164,23.19164,0
03/02/2022,19.05,72.8,296.0233,22.8733,0
03/02/2022,18.8,72.8,296.17392,23.02392,0
04/02/2022,19.05,72.8,296.384,23.234,0
04/02/2022,18.8,72.8,296.39883,23.24883,0
05/02/2022,19.05,72.8,295.9879,22.8379,0
05/02/2022,18.8,72.8,295.98276,22.83276,0
06/02/2022,19.05,72.8,296.40384,23.25384,0
06/02/2022,18.8,72.8,296.41806,23.26806,0
07/02/2022,19.05,72.8,295.90686,22.75686,0
07/02/2022,18.8,72.8,295.92563,22.77563,0
08/02/2022,19.05,72.8,295.59067,22.44067,0
