valid_time,latitude,longitude,mean_t2m,tsm_C
1/1/2024,19.05,72.8,298.72922,25.57922
1/1/2024,18.8,72.8,298.79312,25.64312
2/1/2024,19.05,72.8,298.4006,25.2506
2/1/2024,18.8,72.8,298.49875,25.34875
3/1/2024,19.05,72.8,297.95554,24.80554
3/1/2024,18.8,72.8,298.13846,24.98846
4/1/2024,19.05,72.8,297.34164,24.19164
4/1/2024,18.8,72.8,297.49515,24.34515
5/1/2024,19.05,72.8,297.2723,24.1223
5/1/2024,18.8,72.8,297.35242,24.20242
6/1/2024,19.05,72.8,298.1513,25.0013
6/1/2024,18.8,72.8,298.2595,25.1095
7/1/2024,19.05,72.8,298.5051,25.3551
7/1/2024,18.8,72.8,298.60324,25.45324
8/1/2024,19.05,72.8,299.4279,26.2779
8/1/2024,18.8,72.8,299.44943,26.29943
9/1/2024,19.05,72.8,298.85513,25.70513
9/1/2024,18.8,72.8,298.95828,25.80828
10/1/2024,19.05,72.8,299.24686,26.09686
10/1/2024,18.8,72.8,299.24658,26.09658
11/1/2024,19.05,72.8,299.76593,26.61593
11/1/2024,18.8,72.8,299.712,26.562
12/1/2024,19.05,72.8,300.1791,27.0291
12/1/2024,18.8,72.8,300.11755,26.96755
13-01-24,19.05,72.8,300.10394,26.95394
13-01-24,18.8,72.8,299.97473,26.82473
14-01-24,19.05,72.8,299.79288,26.64288
14-01-24,18.8,72.8,299.7385,26.5885
15-01-24,19.05,72.8,298.4573,25.3073
15-01-24,18.8,72.8,298.6218,25.4718
16-01-24,19.05,72.8,297.22403,24.07403
16-01-24,18.8,72.8,297.26022,24.11022
17-01-24,19.05,72.8,296.8956,23.7456
17-01-24,18.8,72.8,296.9744,23.8244
18-01-24,19.05,72.8,296.65338,23.50338
18-01-24,18.8,72.8,296.6658,23.5158
19-01-24,19.05,72.8,296.70752,23.55752
19-01-24,18.8,72.8,296.7665,23.6165
20-01-24,19.05,72.8,297.18613,24.03613
20-01-24,18.8,72.8,297.28052,24.13052
21-01-24,19.05,72.8,297.4896,24.3396
21-01-24,18.8,72.8,297.5101,24.3601
22-01-24,19.05,72.8,297.46664,24.31664
22-01-24,18.8,72.8,297.4148,24.2648
23-01-24,19.05,72.8,297.33267,24.18267
23-01-24,18.8,72.8,297.4127,24.2627
24-01-24,19.05,72.8,297.21674,24.06674
24-01-24,18.8,72.8,297.2696,24.1196
25-01-24,19.05,72.8,297.0687,23.9187
25-01-24,18.8,72.8,297.2189,24.0689
26-01-24,19.05,72.8,297.53824,24.38824
26-01-24,18.8,72.8,297.64432,24.49432
27-01-24,19.05,72.8,298.15463,25.00463
27-01-24,18.8,72.8,298.32544,25.17544
28-01-24,19.05,72.8,298.22537,25.07537
28-01-24,18.8,72.8,298.41977,25.26977
29-01-24,19.05,72.8,298.18585,25.03585
29-01-24,18.8,72.8,298.27817,25.12817
30-01-24,19.05,72.8,297.7166,24.5666
30-01-24,18.8,72.8,297.90298,24.75298
31-01-24,19.05,72.8,297.1038,23.9538
31-01-24,18.8,72.8,297.29657,24.14657
1/2/2024,19.05,72.8,296.9688,23.8188
1/2/2024,18.8,72.8,296.97256,23.82256
2/2/2024,19.05,72.8,297.3367,24.1867
2/2/2024,18.8,72.8,297.24063,24.09063
3/2/2024,19.05,72.8,298.54953,25.39953
3/2/2024,18.8,72.8,298.4537,25.3037
4/2/2024,19.05,72.8,298.96423,25.81423
4/2/2024,18.8,72.8,298.83218,25.68218
5/2/2024,19.05,72.8,298.83505,25.68505
5/2/2024,18.8,72.8,298.80087,25.65087
6/2/2024,19.05,72.8,298.61606,25.46606
6/2/2024,18.8,72.8,298.65262,25.50262
7/2/2024,19.05,72.8,298.77084,25.62084
7/2/2024,18.8,72.8,298.73904,25.58904
8/2/2024,19.05,72.8,298.71964,25.56964
8/2/2024,18.8,72.8,298.6765,25.5265
9/2/2024,19.05,72.8,298.0737,24.9237
9/2/2024,18.8,72.8,298.07483,24.92483
10/2/2024,19.05,72.8,298.1201,24.9701
10/2/2024,18.8,72.8,298.1565,25.0065
11/2/2024,19.05,72.8,297.81168,24.66168
11/2/2024,18.8,72.8,297.89038,24.74038
12/2/2024,19.05,72.8,297.7297,24.5797
12/2/2024,18.8,72.8,297.79147,24.64147
13-02-24,19.05,72.8,297.81766,24.66766
13-02-24,18.8,72.8,297.87247,24.72247
14-02-24,19.05,72.8,298.3057,25.1557
14-02-24,18.8,72.8,298.3418,25.1918
15-02-24,19.05,72.8,298.2682,25.1182
15-02-24,18.8,72.8,298.20114,25.05114
16-02-24,19.05,72.8,298.6801,25.5301
16-02-24,18.8,72.8,298.55954,25.40954
17-02-24,19.05,72.8,298.94205,25.79205
17-02-24,18.8,72.8,298.84067,25.69067
18-02-24,19.05,72.8,299.0913,25.9413
18-02-24,18.8,72.8,298.85562,25.70562
19-02-24,19.05,72.8,298.94272,25.79272
19-02-24,18.8,72.8,298.82443,25.67443
20-02-24,19.05,72.8,298.7019,25.5519
20-02-24,18.8,72.8,298.67017,25.52017
21-02-24,19.05,72.8,297.90842,24.75842
21-02-24,18.8,72.8,297.85904,24.70904
22-02-24,19.05,72.8,297.80765,24.65765
22-02-24,18.8,72.8,297.76346,24.61346
23-02-24,19.05,72.8,297.85886,24.70886
23-02-24,18.8,72.8,297.7216,24.5716
24-02-24,19.05,72.8,298.3959,25.2459
24-02-24,18.8,72.8,298.38797,25.23797
25-02-24,19.05,72.8,298.43387,25.28387
25-02-24,18.8,72.8,298.3644,25.2144
26-02-24,19.05,72.8,298.92172,25.77172
26-02-24,18.8,72.8,298.79984,25.64984
27-02-24,19.05,72.8,299.28867,26.13867
