valid_time,t2m,
01-01-20 00:00,295.1515,22.0015
01-01-20 03:00,294.90576,21.75576
01-01-20 06:00,297.93497,24.78497
01-01-20 09:00,300.26416,27.11416
01-01-20 12:00,299.5152,26.3652
01-01-20 15:00,297.3091,24.1591
01-01-20 18:00,295.99475,22.84475
01-01-20 21:00,296.33215,23.18215
02-01-20 00:00,294.3202,21.1702
02-01-20 00:00,291.30066,18.15066
02-01-20 00:00,296.0155,22.8655
02-01-20 00:00,292.96667,19.81667
02-01-20 03:00,293.85022,20.70022
02-01-20 03:00,291.60803,18.45803
02-01-20 03:00,295.776,22.626
02-01-20 03:00,293.23108,20.08108
02-01-20 06:00,297.6698,24.5198
02-01-20 06:00,299.18542,26.03542
02-01-20 06:00,297.13855,23.98855
02-01-20 06:00,298.828,25.678
02-01-20 09:00,298.30768,25.15768
02-01-20 09:00,300.93463,27.78463
02-01-20 09:00,297.65143,24.50143
02-01-20 09:00,300.17487,27.02487
02-01-20 12:00,297.61932,24.46932
02-01-20 12:00,299.28534,26.13534
02-01-20 12:00,297.22675,24.07675
02-01-20 12:00,298.59003,25.44003
02-01-20 15:00,296.2934,23.1434
02-01-20 15:00,295.44965,22.29965
02-01-20 15:00,296.88715,23.73715
02-01-20 15:00,295.54144,22.39144
02-01-20 18:00,295.9639,22.8139
02-01-20 18:00,295.04593,21.89593
02-01-20 18:00,296.56937,23.41937
02-01-20 18:00,294.64554,21.49554
02-01-20 21:00,294.99567,21.84567
02-01-20 21:00,292.5074,19.3574
02-01-20 21:00,295.97223,22.82223
02-01-20 21:00,293.79254,20.64254
03-01-20 00:00,294.12305,20.97305
03-01-20 00:00,291.875,18.725
03-01-20 00:00,295.47656,22.32656
03-01-20 00:00,292.32617,19.17617
03-01-20 03:00,293.72467,20.57467
03-01-20 03:00,291.82037,18.67037
03-01-20 03:00,295.08405,21.93405
03-01-20 03:00,292.65436,19.50436
03-01-20 06:00,296.75958,23.60958
03-01-20 06:00,297.86505,24.71505
03-01-20 06:00,296.4549,23.3049
03-01-20 06:00,297.5213,24.3713
03-01-20 09:00,298.20874,25.05874
03-01-20 09:00,300.4978,27.3478
03-01-20 09:00,297.68726,24.53726
03-01-20 09:00,299.7849,26.6349
03-01-20 12:00,297.73663,24.58663
03-01-20 12:00,299.63702,26.48702
03-01-20 12:00,297.37335,24.22335
03-01-20 12:00,299.02765,25.87765
03-01-20 15:00,296.21344,23.06344
03-01-20 15:00,295.65485,22.50485
03-01-20 15:00,297.0103,23.8603
03-01-20 15:00,295.74078,22.59078
03-01-20 18:00,295.5866,22.4366
03-01-20 18:00,293.5827,20.4327
03-01-20 18:00,296.57684,23.42684
03-01-20 18:00,293.778,20.628
03-01-20 21:00,294.63745,21.48745
03-01-20 21:00,291.94995,18.79995
03-01-20 21:00,295.989,22.839
03-01-20 21:00,292.34058,19.19058
04-01-20 00:00,293.95032,20.80032
04-01-20 00:00,290.8683,17.7183
04-01-20 00:00,295.10852,21.95852
04-01-20 00:00,291.29602,18.14602
04-01-20 03:00,293.22412,20.07412
04-01-20 03:00,291.41943,18.26943
04-01-20 03:00,294.72607,21.57607
04-01-20 03:00,292.12646,18.97646
04-01-20 06:00,296.36392,23.21392
04-01-20 06:00,297.6022,24.4522
04-01-20 06:00,296.61588,23.46588
04-01-20 06:00,297.67447,24.52447
04-01-20 09:00,298.19348,25.04348
04-01-20 09:00,300.50403,27.35403
04-01-20 09:00,298.11145,24.96145
04-01-20 09:00,300.2384,27.0884
04-01-20 12:00,297.27933,24.12933
04-01-20 12:00,299.0352,25.8852
04-01-20 12:00,297.084,23.934
04-01-20 12:00,298.56253,25.41253
04-01-20 15:00,295.99802,22.84802
04-01-20 15:00,295.50583,22.35583
04-01-20 15:00,296.76755,23.61755
04-01-20 15:00,295.81638,22.66638
04-01-20 18:00,295.86328,22.71328
04-01-20 18:00,293.68945,20.53945
04-01-20 18:00,296.5879,23.4379
04-01-20 18:00,293.98242,20.83242
04-01-20 21:00,295.3346,22.1846
04-01-20 21:00,293.07874,19.92874
04-01-20 21:00,296.06702,22.91702
04-01-20 21:00,293.11194,19.96194
05-01-20 00:00,294.68512,21.53512
05-01-20 00:00,292.3023,19.1523
05-01-20 00:00,295.70856,22.55856
05-01-20 00:00,292.47223,19.32223
05-01-20 03:00,293.84583,20.69583
05-01-20 03:00,292.588,19.438
05-01-20 03:00,295.29114,22.14114
05-01-20 03:00,293.12708,19.97708
05-01-20 06:00,297.9442,24.7942
05-01-20 06:00,299.41296,26.26296
05-01-20 06:00,298.0907,24.9407
05-01-20 06:00,299.44226,26.29226
05-01-20 09:00,299.0868,25.9368
05-01-20 09:00,301.5575,28.4075
05-01-20 09:00,299.8661,26.7161
05-01-20 09:00,302.01257,28.86257
05-01-20 12:00,299.2813,26.1313
05-01-20 12:00,301.09576,27.94576
05-01-20 12:00,299.03522,25.88522
05-01-20 12:00,300.75592,27.60592
05-01-20 15:00,297.13086,23.98086
05-01-20 15:00,295.98047,22.83047
05-01-20 15:00,298.10938,24.95938
05-01-20 15:00,296.25586,23.10586
05-01-20 18:00,296.67004,23.52004
05-01-20 18:00,294.2345,21.0845
05-01-20 18:00,297.83606,24.68606
05-01-20 18:00,294.80872,21.65872
05-01-20 21:00,296.33032,23.18032
05-01-20 21:00,294.33618,21.18618
05-01-20 21:00,297.07056,23.92056
05-01-20 21:00,294.4768,21.3268
06-01-20 00:00,295.3302,22.1802
06-01-20 00:00,293.03723,19.88723
06-01-20 00:00,297.07434,23.92434
06-01-20 00:00,294.4474,21.2974
06-01-20 03:00,295.36243,22.21243
06-01-20 03:00,294.44055,21.29055
06-01-20 03:00,297.3136,24.1636
06-01-20 03:00,295.9308,22.7808
06-01-20 06:00,299.44998,26.29998
06-01-20 06:00,301.09842,27.94842
06-01-20 06:00,299.48904,26.33904
06-01-20 06:00,301.12186,27.97186
06-01-20 09:00,300.23376,27.08376
06-01-20 09:00,303.62634,30.47634
06-01-20 09:00,299.49744,26.34744
06-01-20 09:00,303.015,29.865
06-01-20 12:00,300.20563,27.05563
06-01-20 12:00,302.45758,29.30758
06-01-20 12:00,299.25055,26.10055
06-01-20 12:00,301.25836,28.10836
06-01-20 15:00,297.95447,24.80447
06-01-20 15:00,298.42126,25.27126
06-01-20 15:00,298.64392,25.49392
06-01-20 15:00,298.22986,25.07986
06-01-20 18:00,297.26266,24.11266
06-01-20 18:00,296.17868,23.02868
06-01-20 18:00,298.03415,24.88415
06-01-20 18:00,296.54,23.39
06-01-20 21:00,296.54303,23.39303
06-01-20 21:00,295.48444,22.33444
06-01-20 21:00,297.97272,24.82272
06-01-20 21:00,296.49615,23.34615
07-01-20 00:00,296.1092,22.9592
07-01-20 00:00,294.41583,21.26583
07-01-20 00:00,297.75372,24.60372
07-01-20 00:00,295.5252,22.3752
07-01-20 03:00,295.2655,22.1155
07-01-20 03:00,293.63464,20.48464
07-01-20 03:00,297.43152,24.28152
07-01-20 03:00,295.10144,21.95144
07-01-20 06:00,298.92792,25.77792
07-01-20 06:00,301.2697,28.1197
07-01-20 06:00,298.64276,25.49276
07-01-20 06:00,301.00018,27.85018
07-01-20 09:00,300.16992,27.01992
07-01-20 09:00,303.17773,30.02773
07-01-20 09:00,298.88477,25.73477
07-01-20 09:00,301.82422,28.67422
07-01-20 12:00,299.43097,26.28097
07-01-20 12:00,301.33136,28.18136
07-01-20 12:00,298.74542,25.59542
07-01-20 12:00,300.3001,27.1501
07-01-20 15:00,297.8391,24.6891
07-01-20 15:00,297.30786,24.15786
07-01-20 15:00,298.29224,25.14224
07-01-20 15:00,298.21216,25.06216
07-01-20 18:00,297.34506,24.19506
07-01-20 18:00,296.1185,22.9685
07-01-20 18:00,297.8392,24.6892
07-01-20 18:00,297.05014,23.90014
07-01-20 21:00,296.77676,23.62676
07-01-20 21:00,295.41934,22.26934
07-01-20 21:00,297.3549,24.2049
07-01-20 21:00,296.2123,23.0623
08-01-20 00:00,296.0163,22.8663
08-01-20 00:00,294.12762,20.97762
08-01-20 00:00,297.028,23.878
08-01-20 00:00,294.52606,21.37606
08-01-20 03:00,296.04224,22.89224
08-01-20 03:00,294.43286,21.28286
08-01-20 03:00,296.68872,23.53872
08-01-20 03:00,294.71606,21.56606
08-01-20 06:00,298.67834,25.52834
08-01-20 06:00,300.2838,27.1338
08-01-20 06:00,298.02795,24.87795
08-01-20 06:00,299.61194,26.46194
08-01-20 09:00,299.1187,25.9687
08-01-20 09:00,301.83746,28.68746
08-01-20 09:00,298.14215,24.99215
08-01-20 09:00,300.76715,27.61715
08-01-20 12:00,298.24994,25.09994
08-01-20 12:00,300.0937,26.9437
08-01-20 12:00,297.75775,24.60775
08-01-20 12:00,299.36713,26.21713
08-01-20 15:00,297.57,24.42
08-01-20 15:00,297.33954,24.18954
08-01-20 15:00,297.4743,24.3243
08-01-20 15:00,296.76727,23.61727
08-01-20 18:00,296.6109,23.4609
08-01-20 18:00,295.26324,22.11324
08-01-20 18:00,296.85895,23.70895
08-01-20 18:00,295.0738,21.9238
08-01-20 21:00,295.89136,22.74136
08-01-20 21:00,294.22144,21.07144
08-01-20 21:00,296.05933,22.90933
08-01-20 21:00,293.93042,20.78042
09-01-20 00:00,294.466,21.316
09-01-20 00:00,292.48553,19.33553
09-01-20 00:00,295.2492,22.0992
09-01-20 00:00,292.55585,19.40585
09-01-20 03:00,293.81018,20.66018
09-01-20 03:00,292.61682,19.46682
09-01-20 03:00,294.818,21.668
09-01-20 03:00,292.99963,19.84963
09-01-20 06:00,297.33044,24.18044
09-01-20 06:00,299.0746,25.9246
09-01-20 06:00,296.8402,23.6902
09-01-20 06:00,298.45544,25.30544
09-01-20 09:00,298.84222,25.69222
09-01-20 09:00,301.6762,28.5262
09-01-20 09:00,298.39105,25.24105
09-01-20 09:00,301.1098,27.9598
09-01-20 12:00,297.70697,24.55697
09-01-20 12:00,299.998,26.848
09-01-20 12:00,297.59174,24.44174
09-01-20 12:00,299.44525,26.29525
09-01-20 15:00,296.36304,23.21304
09-01-20 15:00,296.23608,23.08608
09-01-20 15:00,297.10327,23.95327
09-01-20 15:00,296.3181,23.1681
09-01-20 18:00,295.97253,22.82253
09-01-20 18:00,293.71277,20.56277
09-01-20 18:00,297.00378,23.85378
09-01-20 18:00,294.57214,21.42214
09-01-20 21:00,295.2881,22.1381
09-01-20 21:00,293.18262,20.03262
09-01-20 21:00,296.42676,23.27676
09-01-20 21:00,293.1709,20.0209
10-01-20 00:00,294.68408,21.53408
10-01-20 00:00,292.979,19.829
10-01-20 00:00,295.96924,22.81924
10-01-20 00:00,293.21143,20.06143
10-01-20 03:00,294.66574,21.51574
10-01-20 03:00,293.9177,20.7677
10-01-20 03:00,295.83176,22.68176
10-01-20 03:00,294.46066,21.31066
10-01-20 06:00,297.74854,24.59854
10-01-20 06:00,298.96143,25.81143
10-01-20 06:00,298.61768,25.46768
10-01-20 06:00,299.61572,26.46572
10-01-20 09:00,301.33606,28.18606
10-01-20 09:00,303.34778,30.19778
10-01-20 09:00,299.9923,26.8423
10-01-20 09:00,302.37317,29.22317
10-01-20 12:00,298.80847,25.65847
10-01-20 12:00,301.2362,28.0862
10-01-20 12:00,298.8944,25.7444
10-01-20 12:00,300.89246,27.74246
10-01-20 15:00,297.03336,23.88336
10-01-20 15:00,296.8439,23.6939
10-01-20 15:00,298.02164,24.87164
10-01-20 15:00,297.00797,23.85797
10-01-20 18:00,297.136,23.986
10-01-20 18:00,296.1106,22.9606
10-01-20 18:00,298.01294,24.86294
10-01-20 18:00,297.15356,24.00356
10-01-20 21:00,296.57355,23.42355
10-01-20 21:00,294.80792,21.65792
10-01-20 21:00,297.37042,24.22042
10-01-20 21:00,294.91534,21.76534
11-01-20 00:00,295.28625,22.13625
11-01-20 00:00,293.57727,20.42727
11-01-20 00:00,296.6847,23.5347
11-01-20 00:00,293.98743,20.83743
11-01-20 03:00,295.51318,22.36318
11-01-20 03:00,294.57568,21.42568
