DATE,DPT,WBT,DBT,Normal_Temp
2010-01-01,16.0875,19.775,25.725,30.4
2010-01-02,18.200000000000003,21.375,26.975,30.4
2010-01-03,19.7375,22.025,26.3,30.4
2010-01-04,18.025,20.45,24.575,30.4
2010-01-05,18.55,20.575,24.175,30.4
2010-01-06,17.55,20.525,25.575,30.4
2010-01-07,15.475,19.875,26.675,30.4
2010-01-08,15.524999999999999,19.55,25.775,30.4
2010-01-09,14.8875,18.925,24.975,30.4
2010-01-10,15.775,19.425,25.2,30.4
2010-01-11,18.7375,21.325,25.925,30.4
2010-01-12,20.5125,22.5,26.275,30.4
2010-01-13,12.5875,17.5,23.975,30.4
2010-01-14,12.9125,17.0,22.65,30.4
2010-01-15,16.5,20.05,25.85,30.4
2010-01-16,17.4625,21.225,27.599999999999998,30.4
2010-01-17,14.75,19.15,25.625,30.4
2010-01-18,16.45,19.325,24.0,30.4
2010-01-19,15.575,19.275,25.075,30.4
2010-01-20,14.0375,18.8,25.9,30.4
2010-01-21,14.3,19.05,26.05,30.4
2010-01-22,15.325,19.225,25.15,30.4
2010-01-23,15.3875,19.025,24.45,30.4
2010-01-24,16.8,19.75,24.55,30.4
2010-01-25,15.357142857142858,18.857142857142858,24.2,30.4
2010-01-26,12.725,18.2,25.900000000000002,30.4
2010-01-27,13.725,18.45,25.325,30.4
2010-01-28,12.125,17.725,25.275,30.4
2010-01-29,14.025,18.275,24.55,30.4
2010-01-30,14.15,18.875,25.825,30.4
2010-01-31,15.65,19.35,25.175,30.4
2010-02-01,18.2,20.725,25.175,31.1
2010-02-02,18.9875,21.25,25.35,31.1
2010-02-03,18.8625,20.725,24.1,31.1
2010-02-04,19.05,20.75,23.875,31.1
2010-02-05,20.325,21.7,24.375,31.1
2010-02-06,20.375,22.35,26.275,31.1
2010-02-07,19.5125,21.875,26.425,31.1
2010-02-08,21.525,22.7,25.1,31.1
2010-02-09,21.25,22.575,25.275,31.1
2010-02-10,19.475,21.45,24.975,31.1
2010-02-11,17.4625,19.975,24.224999999999998,31.1
2010-02-12,18.1375,20.45,24.425,31.1
2010-02-13,14.925,18.775,24.35,31.1
2010-02-14,12.5125,17.85,25.1,31.1
2010-02-15,12.525,17.925,25.3,31.1
2010-02-16,10.5875,17.1,25.4,31.1
2010-02-17,12.25,18.15,25.975,31.1
2010-02-18,15.4625,19.075,24.7625,31.1
2010-02-19,15.987499999999999,19.35,24.575,31.1
2010-02-20,17.575,20.375,25.175,31.1
2010-02-21,19.625,21.8,25.675,31.1
2010-02-22,18.9125,21.675,26.3,31.1
2010-02-23,19.2,21.2,24.875,31.1
2010-02-24,17.75,20.125,24.075,31.1
2010-02-25,18.475,20.5,24.075,31.1
2010-02-26,19.0375,21.425,25.825,31.1
2010-02-27,16.175,20.425,27.625,31.1
2010-02-28,14.8125,20.0,28.125,31.1
2010-03-01,16.4,21.075,28.5,32.6
2010-03-02,20.2125,22.775,27.5,32.6
2010-03-03,20.3125,22.7375,26.65,32.6
2010-03-04,20.15,22.35,26.35,32.6
2010-03-05,21.3,22.85,25.95,32.6
2010-03-06,20.5375,22.4,25.975,32.6
2010-03-07,19.575,21.775,25.85,32.6
2010-03-08,17.3,21.0,27.1,32.6
2010-03-09,15.9125,20.375,27.725,32.6
2010-03-10,18.65,22.225,28.55,32.6
2010-03-11,22.1875,24.275,28.6,32.6
2010-03-12,19.75,23.3,29.95,32.6
2010-03-13,18.6875,22.9,30.625,32.6
2010-03-14,22.1375,24.05,28.025,32.6
2010-03-15,21.2125,23.025,26.675,32.6
2010-03-16,21.2625,22.825,26.0,32.6
2010-03-17,22.4,24.025,27.4,32.6
2010-03-18,22.5625,24.85,29.625,32.6
2010-03-19,22.8125,25.075,29.875,32.6
2010-03-20,24.5625,26.0,29.275,32.6
2010-03-21,23.525,25.3,29.275,32.6
2010-03-22,16.2375,21.65,29.95,32.6
2010-03-23,18.9625,22.025,27.724999999999998,32.6
2010-03-24,21.8875,23.675,27.424999999999997,32.6
2010-03-25,22.925,24.375,27.525,32.6
2010-03-26,22.675,24.25,27.6,32.6
2010-03-27,22.125,23.95,27.725,32.6
2010-03-28,22.1375,24.025,27.9,32.6
2010-03-29,20.0625,23.15,28.775,32.6
2010-03-30,21.55,23.3,27.05,32.6
2010-03-31,22.5625,24.3,27.975,32.6
2010-04-01,22.2625,24.4,28.9,33.0
2010-04-02,23.1125,24.75,28.325,33.0
2010-04-03,20.5375,23.7,29.575,33.0
2010-04-04,18.0375,21.7,28.225,33.0
2010-04-05,19.1625,23.225,30.575,33.0
2010-04-06,21.075,23.925,29.725,33.0
2010-04-07,22.7125,25.0,29.9,33.0
2010-04-08,23.9125,26.075,31.075,33.0
2010-04-09,25.7,27.05,30.349999999999998,33.0
2010-04-10,25.412499999999998,26.625,29.575,33.0
2010-04-11,20.925,23.775,29.45,33.0
2010-04-12,22.3,24.675,29.875,33.0
2010-04-13,23.5125,25.175,28.95,33.0
2010-04-14,24.575,26.15,29.849999999999998,33.0
2010-04-15,25.125,26.55,30.0,33.0
2010-04-16,25.325,26.825,30.45,33.0
2010-04-17,24.45,26.575,31.35,33.0
2010-04-18,25.5125,26.9,30.35,33.0
2010-04-19,24.5375,26.225,30.175,33.0
2010-04-20,24.2875,26.15,30.525,33.0
2010-04-21,24.7625,26.4,30.325,33.0
2010-04-22,25.0375,26.425,29.775,33.0
2010-04-23,24.9125,26.85,31.55,33.0
2010-04-24,25.25,27.025000000000002,31.35,33.0
2010-04-25,23.928571428571427,26.0,30.857142857142858,33.0
2010-04-26,25.75,27.35,31.375,33.0
2010-04-27,24.8,26.65,31.125,33.0
2010-04-28,24.4875,26.3,30.6,33.0
2010-04-29,24.4625,26.45,31.075,33.0
2010-04-30,25.1375,27.025,31.575,33.0
2010-05-01,25.2,27.0,31.349999999999998,33.3
2010-05-02,25.1125,26.725,30.65,33.3
2010-05-03,24.475,26.375,30.775000000000002,33.3
2010-05-04,24.3,26.25,30.75,33.3
2010-05-05,24.9625,26.575,30.45,33.3
2010-05-06,25.15,26.775,30.75,33.3
2010-05-07,26.1375,27.625,31.4,33.3
2010-05-08,25.65,27.475,31.975,33.3
2010-05-09,25.2875,27.3,32.275,33.3
2010-05-10,26.1125,27.675,31.675,33.3
2010-05-11,24.85,26.75,31.25,33.3
2010-05-12,25.175,26.775,30.525,33.3
2010-05-13,24.7625,26.5,30.65,33.3
2010-05-14,24.8875,26.7,31.05,33.3
2010-05-15,24.3125,26.275,30.85,33.3
2010-05-16,24.275,26.125,30.5,33.3
2010-05-17,25.175,26.875,31.0,33.3
2010-05-18,25.8,27.475,31.675,33.3
2010-05-19,26.4625,27.7625,30.675,33.3
2010-05-20,26.3875,27.675,30.974999999999998,33.3
2010-05-21,26.6375,27.95,31.375,33.3
2010-05-22,27.35,28.525,31.7,33.3
2010-05-23,26.9625,28.275,31.775,33.3
2010-05-24,26.9,28.2,31.625,33.3
2010-05-25,26.65,28.075,31.799999999999997,33.3
2010-05-26,26.0375,27.724999999999998,31.974999999999998,33.3
2010-05-27,26.125,27.775,32.0,33.3
2010-05-28,25.7,27.5,31.975,33.3
2010-05-29,25.1625,27.025,31.575,33.3
2010-05-30,24.5375,26.65,31.675,33.3
2010-05-31,25.175,27.125,31.9,33.3
2010-06-01,25.325,27.325,32.2875,32.0
2010-06-02,25.9375,27.45,31.3,32.0
2010-06-03,26.1125,27.775,32.0,32.0
2010-06-04,25.6,27.375,31.8,32.0
2010-06-05,25.525,27.375,31.975,32.0
2010-06-06,25.5125,27.075,30.875,32.0
2010-06-07,25.725,26.975,30.075,32.0
2010-06-08,25.2625,26.5,29.5,32.0
2010-06-09,24.7875,26.15,29.099999999999998,32.0
2010-06-10,25.45,27.0,30.825,32.0
2010-06-11,24.7,25.925,28.85,32.0
2010-06-12,25.9375,26.95,29.525,32.0
2010-06-13,25.857142857142858,26.885714285714283,29.428571428571427,32.0
2010-06-14,25.4125,26.225,28.2,32.0
2010-06-15,25.3125,25.8,26.95,32.0
2010-06-16,25.6125,26.025,27.025,32.0
2010-06-17,25.65,26.55,28.75,32.0
2010-06-18,25.65,26.675,29.175,32.0
2010-06-19,25.9125,26.85,29.2,32.0
2010-06-20,26.0,26.95,29.275,32.0
2010-06-21,26.075,27.125,29.775,32.0
2010-06-22,26.6375,27.5,29.75,32.0
2010-06-23,25.6125,26.0,26.95,32.0
2010-06-24,24.885714285714283,25.2,25.885714285714283,32.0
2010-06-25,24.55,25.125,26.425,32.0
2010-06-26,25.0125,26.2,29.05,32.0
2010-06-27,25.462500000000002,26.725,29.8,32.0
2010-06-28,26.25,26.975,28.8,32.0
2010-06-29,26.2125,26.95,28.825,32.0
2010-06-30,26.2625,27.175,29.45,32.0
2010-07-01,26.1875,27.4,30.475,29.9
2010-07-02,24.925,25.65,27.325,29.9
2010-07-03,25.0,25.475,26.55,29.9
2010-07-04,25.45,26.2,28.0,29.9
2010-07-05,25.4625,26.2875,28.549999999999997,29.9
