YEAR,HR,DT,MN,DPT,WBT,DBT,Normal_Temp
2010,0,1,1,14.8,17.4,21.2,30.4
2010,0,2,1,17.8,19.4,22.0,30.4
2010,0,3,1,20.0,21.4,24.0,30.4
2010,0,4,1,16.1,18.6,22.4,30.4
2010,0,5,1,17.8,18.4,19.4,30.4
2010,0,6,1,16.7,18.4,21.0,30.4
2010,0,7,1,14.0,18.0,23.8,30.4
2010,0,8,1,15.7,18.6,23.0,30.4
2010,0,9,1,15.4,16.6,18.4,30.4
2010,0,10,1,15.4,16.6,18.4,30.4
2010,0,11,1,17.2,18.6,20.8,30.4
2010,0,12,1,22.0,23.0,25.0,30.4
2010,0,13,1,17.0,19.0,22.2,30.4
2010,0,14,1,10.2,13.0,16.2,30.4
2010,0,15,1,15.1,17.4,20.8,30.4
2010,0,16,1,17.4,20.2,24.8,30.4
2010,0,17,1,17.2,18.0,19.2,30.4
2010,0,18,1,14.3,15.6,17.4,30.4
2010,0,19,1,16.1,17.2,18.8,30.4
2010,0,20,1,14.3,16.6,19.8,30.4
2010,0,21,1,13.4,17.0,22.0,30.4
2010,0,22,1,14.6,16.6,19.4,30.4
2010,0,23,1,14.6,15.8,17.4,30.4
2010,0,24,1,18.4,19.6,21.6,30.4
2010,0,25,1,15.0,16.0,17.4,30.4
2010,0,26,1,10.1,15.0,20.8,30.4
2010,0,27,1,13.0,16.0,20.0,30.4
2010,0,28,1,13.8,16.2,19.4,30.4
2010,0,29,1,13.4,15.4,18.0,30.4
2010,0,30,1,14.1,16.4,19.6,30.4
2010,0,31,1,15.6,17.0,19.0,30.4
2010,12,1,1,13.4,17.4,23.0,30.4
2010,12,2,1,16.6,19.4,23.8,30.4
2010,12,3,1,20.2,21.8,24.8,30.4
2010,12,4,1,17.2,19.2,22.4,30.4
2010,12,5,1,17.6,18.6,20.2,30.4
2010,12,6,1,15.7,18.8,23.6,30.4
2010,12,7,1,13.8,18.0,24.0,30.4
2010,12,8,1,14.0,18.0,23.8,30.4
2010,12,9,1,13.7,17.4,22.6,30.4
2010,12,10,1,13.8,17.4,22.4,30.4
2010,12,11,1,17.2,19.2,22.4,30.4
2010,12,12,1,21.5,22.6,24.8,30.4
2010,12,13,1,14.1,17.0,21.0,30.4
2010,12,14,1,10.8,13.2,16.0,30.4
2010,12,15,1,12.5,17.4,24.0,30.4
2010,12,16,1,17.4,20.4,25.4,30.4
2010,12,17,1,16.9,18.4,20.8,30.4
2010,12,18,1,18.5,20.0,22.6,30.4
2010,12,19,1,16.7,17.6,19.0,30.4
2010,12,20,1,13.8,17.4,22.4,30.4
2010,12,21,1,12.5,17.4,24.0,30.4
2010,12,22,1,13.7,17.0,21.6,30.4
2010,12,23,1,14.1,16.6,20.0,30.4
2010,12,24,1,16.6,18.0,20.2,30.4
2010,12,25,1,13.9,16.0,18.8,30.4
2010,12,26,1,9.5,16.0,23.8,30.4
2010,12,27,1,11.5,17.0,24.2,30.4
2010,12,28,1,13.8,17.0,21.4,30.4
2010,12,29,1,14.2,16.2,19.0,30.4
2010,12,30,1,14.0,17.4,22.0,30.4
2010,12,31,1,15.9,17.6,20.2,30.4
2010,24,1,1,14.6,20.4,29.4,30.4
2010,24,2,1,15.4,21.4,31.2,30.4
2010,24,3,1,19.5,23.0,29.6,30.4
2010,24,4,1,17.1,21.0,27.6,30.4
2010,24,5,1,16.8,21.0,28.0,30.4
2010,24,6,1,16.4,21.2,29.2,30.4
2010,24,7,1,14.2,20.4,30.0,30.4
2010,24,8,1,11.9,19.4,30.0,30.4
2010,24,9,1,12.7,19.4,29.0,30.4
2010,24,10,1,13.8,19.8,28.8,30.4
2010,24,11,1,15.5,21.4,31.0,30.4
2010,24,12,1,19.4,22.8,29.2,30.4
2010,24,13,1,10.4,17.8,27.4,30.4
2010,24,14,1,9.3,17.2,27.0,30.4
2010,24,15,1,15.3,21.0,30.2,30.4
2010,24,16,1,18.7,23.0,31.0,30.4
2010,24,17,1,14.8,21.2,31.4,30.4
2010,24,18,1,14.5,20.0,28.4,30.4
2010,24,19,1,15.9,21.0,29.4,30.4
2010,24,20,1,12.9,19.4,29.4,30.4
2010,24,21,1,10.4,19.4,31.6,30.4
2010,24,22,1,10.0,18.8,30.4,30.4
2010,24,23,1,12.1,19.4,29.8,30.4
2010,24,24,1,14.9,20.4,29.0,30.4
2010,24,25,1,11.3,19.0,29.6,30.4
2010,24,26,1,12.1,19.8,30.8,30.4
2010,24,27,1,12.4,19.4,29.4,30.4
2010,24,28,1,10.0,18.8,30.4,30.4
2010,24,29,1,11.5,19.4,30.4,30.4
2010,24,30,1,11.0,19.4,31.0,30.4
2010,24,31,1,13.0,20.4,31.4,30.4
2010,36,1,1,17.7,23.0,32.6,30.4
2010,36,2,1,17.6,23.4,34.4,30.4
2010,36,3,1,21.3,24.6,31.4,30.4
2010,36,4,1,19.0,22.4,28.6,30.4
2010,36,5,1,19.8,23.4,30.4,30.4
2010,36,6,1,16.6,22.4,32.4,30.4
2010,36,7,1,11.5,20.4,33.2,30.4
2010,36,8,1,15.5,21.6,31.6,30.4
2010,36,9,1,13.2,20.4,31.2,30.4
2010,36,10,1,14.4,21.4,32.6,30.4
2010,36,11,1,20.3,23.8,30.8,30.4
